time,direction,entry,sl,tp,score,result,bars_to_result,reasons
2023-02-01 19:37:00,BUY,1927.4,1926.86,1928.5,3.5,WIN,0,"Cấu trúc H4+H1 đồng thuận CHoCH hướng TĂNG | Giá đang lấp Fair Value Gap (1927.21-1927.93) | Price action xác nhận: bullish_engulfing, bullish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)"
2023-02-02 14:35:00,SELL,1942.48,1958.75,1909.93,3.5,TIMEOUT,800,"Cấu trúc H1 có CHoCH hướng GIẢM (chưa xác nhận trên H4) | Giá đang test lại Order Block bearish_ob (1942.98-1953.49) | Price action xác nhận: bearish_engulfing, bearish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)"
2023-02-02 14:50:00,SELL,1931.44,1933.83,1926.65,3.5,WIN,4,Cấu trúc H1 có CHoCH hướng GIẢM (chưa xác nhận trên H4) | Giá đang test lại Order Block bearish_ob (1927.87-1931.84) | Price action xác nhận: bearish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)
2023-02-02 20:50:00,SELL,1912.1,1920.41,1895.48,4.0,TIMEOUT,800,Cấu trúc H4+H1 đồng thuận CHoCH hướng GIẢM | Giá đang test lại Order Block bearish_ob (1912.16-1917.66) | Price action xác nhận: bearish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)
2023-02-02 21:20:00,SELL,1911.82,1920.41,1894.64,4.0,TIMEOUT,800,Cấu trúc H4+H1 đồng thuận CHoCH hướng GIẢM | Giá đang test lại Order Block bearish_ob (1912.16-1917.66) | Price action xác nhận: bearish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)
2023-02-02 21:25:00,SELL,1911.75,1920.41,1894.43,4.0,TIMEOUT,800,Cấu trúc H4+H1 đồng thuận CHoCH hướng GIẢM | Giá đang test lại Order Block bearish_ob (1912.16-1917.66) | Price action xác nhận: bearish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)
2023-02-03 13:03:00,SELL,1915.4,1920.41,1905.39,3.5,WIN,26,Cấu trúc H4+H1 đồng thuận CHoCH hướng GIẢM | Giá đang test lại Order Block bearish_ob (1912.16-1917.66) | Price action xác nhận: bearish_pin_bar | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)
2023-02-07 15:33:00,BUY,1871.16,1865.17,1883.13,3.5,WIN,132,Cấu trúc H1 có BOS hướng TĂNG (chưa xác nhận trên H4) | Giá đang test lại Order Block bullish_ob (1867.41-1871.88) | Price action xác nhận: bullish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)
2023-02-08 07:21:00,BUY,1877.18,1872.15,1887.23,4.0,LOSS,447,Cấu trúc H4+H1 đồng thuận CHoCH hướng TĂNG | Giá đang test lại Order Block bullish_ob (1874.56-1879.38) | Price action xác nhận: bullish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)
2023-02-09 06:04:00,BUY,1879.33,1872.15,1893.69,3.5,LOSS,597,Cấu trúc H1 có CHoCH hướng TĂNG (chưa xác nhận trên H4) | Giá đang test lại Order Block bullish_ob (1874.56-1879.38) | Price action xác nhận: bullish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)
